Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,RFM_Recency,Friction_Risk
0.0,15.0,4,Mobile Phone,5,Married,4,0,2.0,144.0,2.0,0.0
24.0,8.0,5,Laptop & Accessory,4,Married,6,0,2.0,154.82,2.0,0.0
9.0,9.0,5,Fashion,4,Married,4,0,3.0,227.74,3.0,0.0
9.0,8.0,3,Mobile,4,Married,2,0,2.0,122.26,2.0,0.0
4.0,7.0,6,Mobile Phone,3,Divorced,5,0,3.0,163.33,3.0,0.0
1.0,8.0,5,Laptop & Accessory,5,Married,3,0,3.0,222.14,3.0,0.0
15.0,30.0,3,Fashion,5,Married,2,1,8.0,174.06,8.0,9.0
16.0,7.0,4,Laptop & Accessory,3,Married,3,0,7.0,174.07,7.0,0.0
2.0,25.0,3,Laptop & Accessory,2,Married,5,0,2.0,142.62,2.0,0.0
1.0,27.0,4,Laptop & Accessory,3,Single,2,0,3.0,147.72,3.0,0.0
15.0,8.0,3,Fashion,1,Married,3,1,9.0,201.24,9.0,10.0
13.0,8.0,3,Others,3,Married,1,0,9.0,294.36,9.0,0.0
7.0,14.0,3,Mobile,3,Married,2,1,6.0,125.79,6.0,7.0
12.0,36.0,4,Laptop & Accessory,2,Divorced,5,0,8.0,187.61,8.0,0.0
9.0,30.0,4,Mobile Phone,5,Married,5,1,3.0,165.14,3.0,4.0
18.0,30.0,4,Laptop & Accessory,4,Married,6,0,3.0,145.42,3.0,0.0
29.0,14.0,3,Mobile Phone,5,Married,5,1,2.0,142.57,2.0,3.0
9.0,27.0,4,Mobile,5,Married,1,0,0.0,122.96,0.0,0.0
20.0,9.0,4,Fashion,1,Married,5,0,3.0,210.78,3.0,0.0
6.0,15.0,2,Laptop & Accessory,1,Married,3,0,9.0,187.09,9.0,0.0
10.0,9.0,4,Mobile Phone,3,Married,6,0,3.0,150.43,3.0,0.0
1.0,11.0,5,Mobile Phone,3,Single,7,0,3.0,163.94,3.0,0.0
2.0,12.0,3,Mobile,1,Married,2,0,8.0,131.31,8.0,0.0
8.0,14.0,3,Mobile Phone,3,Single,2,0,4.0,143.23,4.0,0.0
8.0,32.0,3,Fashion,1,Single,2,1,7.0,188.37,7.0,8.0
